@relation Digital_Camera.arff

@attribute rating numeric
@attribute numberOfSentences numeric
@attribute numberOfWords numeric
@attribute width numeric
@attribute depth numeric
@attribute smog numeric
@attribute wordsPerSentence numeric
@attribute percentComplexWords numeric
@attribute syllablesPerWords numeric
@attribute fleschReadingScore numeric
@attribute meanRatingOfProduct numeric
@attribute stdDevRating numeric
@attribute fleschKincaid numeric
@attribute numComplexWords numeric
@attribute numberOfSentiment numeric
@attribute popularityOfProduct numeric
@attribute fogIndex numeric
@attribute reviewHelpfulness {helpful,unhelpful}

@data
4.0,19.0,286.0,14.0,20.0,10.307518005371094,15.052631378173828,10.489510536193848,1.5419580936431885,61.10693359375,3.357142857142857,1.540275618060559,8.475631713867188,30.0,22.0,14.0,10.216856956481934,helpful
5.0,4.0,148.0,8.0,30.4,12.161745071411133,37.0,6.75675630569458,1.4932432174682617,42.951622009277344,3.8275862068965516,1.3663181211144102,16.460269927978516,10.0,7.0,87.0,17.502702713012695,helpful
4.0,8.0,175.0,9.0,19.6,10.41145133972168,21.875,7.428571701049805,1.3600000143051147,69.57588195800781,4.043478260869565,1.334435587236766,8.989250183105469,13.0,11.0,184.0,11.721428871154785,helpful
5.0,4.0,84.0,6.0,33.5,11.698219299316406,21.0,10.714285850524902,1.5119047164916992,57.61286926269531,4.170731707317073,1.3416851258024451,10.440475463867188,9.0,8.0,41.0,12.685714721679688,helpful
4.0,7.0,54.0,4.0,9.0,8.841846466064453,7.714285850524902,12.962963104248047,1.6111111640930176,62.70500183105469,4.523809523809524,0.7939681905015746,6.429683685302734,7.0,6.0,21.0,8.270899772644043,helpful
5.0,9.0,163.0,2.0,19.0,11.855463981628418,18.11111068725586,12.883435249328613,1.5582822561264038,56.621551513671875,2.4,1.7435595774162693,9.861064910888672,21.0,9.0,5.0,12.397818565368652,helpful
5.0,7.0,112.0,3.0,23.333333333333332,12.289874076843262,16.0,16.071428298950195,1.5803571939468384,56.89678955078125,4.053846153846154,1.266804207211314,9.298213958740234,18.0,9.0,130.0,12.828570365905762,helpful
5.0,16.0,422.0,25.0,16.894736842105264,11.698219299316406,26.375,8.530805587768555,1.4194313287734985,59.980491638183594,3.717391304347826,1.361952618058877,11.445539474487305,36.0,29.0,46.0,13.962323188781738,helpful
5.0,14.0,175.0,7.0,13.166666666666666,10.608839988708496,12.5,13.714284896850586,1.5828571319580078,60.23779296875,3.9555555555555557,1.2815885204707747,7.962715148925781,24.0,12.0,90.0,10.485713958740234,helpful
5.0,6.0,212.0,17.0,30.857142857142858,15.247664451599121,35.33333206176758,12.735849380493164,1.5424528121948242,40.48017883300781,4.703703703703703,0.9355059955788956,16.390941619873047,27.0,16.0,27.0,19.22767448425293,helpful
