aa battery,battery,,,
auto focus,autofocus system,,,
hd movie,hd video,,,
indoor photos,indoor pictures,indoor shots,,
kit lens,kit lenses,,,
lcd display,lcd screen,lcd,touch screen,view screen
lens cap,lens cover,lens hood,,
light photos,light pictures,light shots,,
manual control,manual settings,,,
memory card,memory stick,sd card,sdhc card,card
photos quality,pictures quality,quality image,quality photos,quality pictures
second battery,spare battery,,,
underwater photos,underwater pictures,,,
video capability,video quality,,,
lens,lenses,,,
image,photos,pics,pictures,shots
light capability,light conditions,light situations,,
view,view finder,viewfinder,electronic viewfinder,
price,cost,money,,
